id,county,city,name,location,address,street,cross_st_1,cross_st_2,zip,month_open,month_closed,days,frequency,hour_open,hour_closed,manager,phone,association_name,offers_ebt,offers_market_match,offers_WIC_FMNP,offers_WIC_FVC,website,email,latitude,longitude,mm_max,mm_start,mm_end,site_type,offers_f5
175,Los Angeles,Whittier,Uptown Whittier Farmers Market- Wednesday,Southwest corner of Bright & Philadelphia,13018,Philadelphia St,Bright,Philadelphia,90601,Year Round,,Friday,,09:00:00,13:00:00,Kay Thomas,7145265814,Fullerton Certified Farmers Market,1,0,1,0,,kaethomas@att.net,33.9787673,-118.0364794,,,,,
176,Los Angeles,Los Angeles,La Cienega CFM @ Kaiser West LA,Kaiser Permanente West LA,6041,Cadillac Ave,Cadillac Ave,La Cienega Blvd,90034,Year Round,,Wednesday,,09:00:00,14:30:00,Cynthia Ojeda,4242872280,HALA,1,1,1,1,www.lacienegafarmersmarket.com,mnpfarmersmarkets@att.net,34.038683,-118.375157,,,,,1
177,Los Angeles,Long Beach,The Greener Good Farmers' Market WEST,Admiral Kidd Park,2125,Santa Fe Ave,W 21st St,,90810,Year Round,,Saturday,,09:00:00,14:00:00,Jorge Rivera,5624353335,HALA,1,0,0,0,www.greenergoodlb.org,,33.795738,-118.216043,,,,,
178,Los Angeles,Los Angeles,Wellington Square Farmers Market,,4394,W. Washington Blvd,Washington Blvd,Wellington Rd,90016,Year Round,,Sunday,,09:00:00,13:00:00,"Lora Davis, Kathy Lewis",3233730961,HALA,1,1,1,0,http://www.wellingtonsquarefarmersmarket.com/,ljd2000@hotmail.com,34.039601,-118.33505,10,Year Round,,,1
179,Los Angeles,Long Beach,Long Beach Downtown Certified Farmers' Market,"City Place Shopping Center (400 Eliot Court, Promenade North)",300,W 3rd St,Pacific Ave,,90802,Year Round,,Friday,,10:00:00,16:00:00,Dale Whitney,5623013202,HALA,1,1,1,0,http://www.goodveg.org/,,33.770477,-118.193931,10,Year Round,,,1
180,Los Angeles,Huntington Park,Huntington Park CFM,Salt Lake Park,3401,E Florence Ave,Bissell,State St,90255,Year Round,,Wednesday,,09:30:00,13:30:00,Mary Strang,5622301320,HALA,1,1,1,0,http://www.hungeractionla.org/marketmatch/,,33.9723,-118.205677,10,Year Round,,,1
181,Los Angeles,Altadena,Altadena CFM,Loma Alta Park,600,W Palm St,Lincoln Ave,,91101,Year Round,,Wednesday,,15:00:00,19:00:00,Elizabeth Bowman,3105950272,HALA,1,1,1,0,http://altadenafarmersmarket.com/,hello@altadenafarmersmarket.com,34.200712,-118.158188,10,Year Round,,,1
182,Los Angeles,Harbor City,Kaiser South Bay Farmers' Market,Kaiser Permanente/ Parkview Building,25825,S Vermont Ave,W Anaheim St,Pacific Coast Hwy,90710,Year Round,,Wednesday,,10:00:00,19:30:00,Cynthia Ojeda,4242872280,HALA,1,0,1,1,www.lacienegafarmersmarket.com,mnpfarmersmarkets@att.net,33.788567,-118.29562,10,Year Round,,,1
183,Los Angeles,Pomona,Pomona Valley CFM,N.W. Corner of Garey Ave and Pearl Street,683,N Garey Ave,Garey Ave,Pearl St,91767,Year Round,,Saturday,,07:30:00,11:30:00,Harry Brown-Hiegel,3106210336,"HALA, Brown-Hiegel Association",1,0,1,1,,H.BROWNHIEGEL@ca.rr.com,34.0645418,-117.7503705,10,Year Round,Year Round,,1
184,Los Angeles,Santa Monica,Santa Monica Pico Farmers' Market,Virginia Ave Park,2200,Virginia Ave,Cloverfield Ave,,90404,Year Round,,Saturday,,08:00:00,13:00:00,Ted Galvan,3104588712,"HALA, City of Santa Monica",1,1,1,0,http://www.smgov.net/portals/farmersmarket/,laura.avery@smgov.net,34.0220292,-118.4687695,10,Year Round,,,1
185,Los Angeles,Monterey Park,Monterey Park CFM,Monterey Park Bruggemeyer Library parking lot,318,S. Ramona Ave,,,91754,Year Round,,Friday ,,16:00:00,20:00:00,Mark Anderson,3106996134,"HALA, Sprouts of Promise Foundation",1,1,1,0,www.montereyparkfm.com,sproutsofpromise@gmail.com,34.059124,-118.12479,10,Year Round,,,1
186,Los Angeles,Gardena,Gardena CFM-Hollypark,Hollypark Methodist Church parking lot,13000,S Van Ness Ave,132nd St,W El Sedundo Blvd,90249,Year Round,,Saturday,,08:00:00,13:00:00,Kimberly and Ida Edwards,7604989200,HALA/Farmers and Community Services,1,1,1,0,,idaedwards@yahoo.com,33.914518,-118.317526,10,Year Round,,,1
187,Los Angeles,Los Angeles,Adams/Vermont Farmers' Market,St. Agnes Church Parking Lot,1432,W Adams Blvd,S Vermont,S Catalina,90007,Year Round,,Wednesday,,14:00:00,18:00:00,Ida M. Edwards,7604989200,HALA/Farmers and Community Services,1,1,1,0,,idaedwards@yahoo.com,34.033214,-118.292887,10,Year Round,,,1
188,Los Angeles,Los Angeles,Mar Vista Farmers' Market,,12200,Grand View,S Centinela Ave,,90066,Year Round,,Sunday,,09:00:00,14:00:00,Diana Rodgers,3108614444,HALA/Mar Vista Farmers Association,1,1,1,0,http://www.marvistafarmersmarket.org/,,34.004629,-118.431175,10,Year Round,,,1
189,Los Angeles ,La Puente,Valinda CFM,Rimgrove Park ,747,N Rimgrove Dr,Amar Ave,,91744,May,October,Thursday,,14:00:00,19:00:00,Grace Gonzalez or Lilia Rivas,3232634462,HALA/VELA - The Light of the Community,1,1,1,0,http://velasfarmersmarkets.org/24612/index.html,grace@velaela.org,34.031159,-117.920677,10,May,October,,1
190,Los Angeles,Carson,South Bay Pavilion Farmers' Market,South Bay Pavilion Mall,20700,Avalon Blvd,Avalon Blvd,110 S,90746,Year Round,,Thursday,,10:00:00,15:00:00,Nick Spano,3108698979,LA City Farm,1,0,1,0,http://www.lacityfarm.com/about-city-farm/,,33.844589,-118.261773,,,,,
191,Los Angeles,Los Angeles,Yamashiro Farmers Market,,1999,N. Sycamore Ave,Franklin,Sycamore,90068,April,September,Thursday,,17:00:00,21:00:00,Nick Spano,3108698979,LA City Farm ,1,0,1,0,http://www.lacityfarm.com/about-city-farm/,,34.1064321,-118.3421312,,,,,
192,Los Angeles,Los Angeles,The WALL Food + Flowers + Farmers' Market,,755,Wall St,E 7th St,E 8th St,90014,Year Round,,Saturday,,10:00:00,15:00:00,Susan Hillyer,9495213326,LA Flower District,0,0,0,0,www.communityevent.org,susan@communityevent.org,34.041172,-118.249633,,,,,
193,Los Angeles,Long Beach,Bixby Park Farmers' Market,Bixby Park,,Junipero,1st St,2nd St,90802,Year Round,,Tuesday,,15:00:00,19:00:00,Lee Ostendorf,5624499299,Local Harvest,0,0,0,0,http://www.localharvestfarmersmarkets.com/#!bixby-park/c1g6b,,33.765797,-118.168148,,,,,
194,Los Angeles,Long Beach,Marine Stadium (Local Harvest) Farmers' Market,Parking Lot at Marina Vista Park & Marine Stadium,,E. Appian Way,Nieto Ave,,90803,Year Round,,Wednesday,,15:00:00,19:00:00,Lee Ostendorf,5624499299,Local Harvest,0,0,0,0,http://www.localharvestfarmersmarkets.com/#!marine-stadium/cup,,33.76371,-118.127002,,,,,
195,Los Angeles,San Pedro,San Pedro Farmers' Market,,,6th St,Pacific Ave,Mesa St ,90731,Year Round,,Friday,,09:00:00,14:00:00,Lee Ostendorf,5624499299,Local Harvest,0,0,0,0,http://www.localharvestfarmersmarkets.com/#!historic-downtown-san-pedro/cxq7,,33.8542837,-118.3901594,,,,,
196,Los Angeles,Wilmington,Local Harvest CFM Wilmington,,,E L St,N Avalon Blvd,Marine Ave,90744,Year Round,,Thursday,,09:00:00,13:00:00,Lee Ostendorf,5624499299,Local Harvest,0,0,0,0,http://www.localharvestfarmersmarkets.com/#!heart-of-the-harbor/cz7m,,33.7846786,-118.2641041,,,,,
197,Los Angeles,Los Angeles,Motor Avenue Farmers' Market,,3376,Motor Ave,Motor Ave,National Blvd,90034,Year Round,,Sunday,,09:00:00,14:00:00,Evelin Tamayo,3102029002,Motor Ave Improvement Association ,1,0,1,0,http://www.motoravenuemarket.com/,market@motorassociation.org,34.02953,-118.410608,,,,,
198,Los Angeles,Highland Park,Old L.A. CFM,Metro Gold Line Highland Park Station,,N Figueroa St,,N Ave 58,90042,Year Round,,Tuesday,,15:00:00,19:00:00,Christopher Nyerges,6267913217,North Figueroa Association,1,0,1,0,https://www.facebook.com/HighlandParkOldLaCertifiedFarmersMarket,christopher_nyerges@yahoo.com,34.110151,-118.191919,,,,,
199,Los Angeles,Van Nuys,Encino Farmer Market,,17400,Victory Blvd,,,91406,Year Round,,Sunday,,08:00:00,13:00:00,Carole Gallegos,8187086611,One Generation,0,0,1,0,http://www.onegeneration.org/encino-farmers-market/,cgallegos@onegeneration.org,34.1866143,-118.5120399,,,,,
200,Los Angeles,Pasadena,Pasadena Villa Parke CFM,Villa Parke Center,363,E Villa St,Garfield Ave,,91101,Year Round,,Tuesday,,08:30:00,12:30:00,Gretchen Sterling,6264490179,Pasadena Markets,1,0,1,0,http://www.pasadenafarmersmarket.org/pasadena_farmers_market_villa_parke.html,pasadenacfms@yahoo.com,34.1541922,-118.1430501,,,,,
201,Los Angeles,Pasadena,Pasadena Victory Park FM,,2925,N Sierra Madre Blvd,Sierra Madre Blvd,Paloma St,91107,Year Round,,Saturday,,08:30:00,12:30:00,Gretchen Sterling,6264490179,Pasadena Markets,1,0,1,0,http://www.pasadenafarmersmarket.org/pasadena_farmers_market_victory_park.html,pasadenacfms@yahoo.com,34.1543599,-118.0939366,,,,,
202,Los Angeles,Temple City,Temple City CFM,City Hall Complex,9701,E Las Tunas Dr,Kaufman,,91780,Year Round,,Sunday,,08:30:00,12:30:00,Gretchen Sterling,6264490179,Pasadena Markets,1,0,1,0,http://www.ci.temple-city.ca.us/287/Farmers-Market,pasadenacfms@yahoo.com,34.10769,-118.057863,,,,,
203,Los Angeles,Lancaster,Lancaster Farmers' Market,,758,W Lancaster Blvd,Date Ave,Fig Ave,93534,Year Round,,Thursday,,16:00:00,21:00:00,Evelyn Lopez,8185918161,Raw Inspiration,1,0,1,0,http://www.rawinspiration.org/,,34.697811,-118.144036,,,,,
204,Los Angeles,Los Angeles,Downtown LA CFM/Pershing,Pershing Square,532,S Olive St,W 5th St,W 6th St,90013,Year Round,,Wednesday,,11:00:00,14:00:00,Jackson Spears,8185918161,Raw Inspiration,0,0,1,0,http://www.rawinspiration.org/,info@rawinspiration.org,34.049353,-118.252908,,,,,
205,Los Angeles,Los Angeles,Downtown L.A. - 7th & Figueroa CFM,,735,S Figueroa St,W 7th St,W 8th St,90017,Year Round,,Thursday,,09:00:00,14:00:00,Fernando Oxa,8185918161,Raw Inspiration,1,0,1,0,http://www.rawinspiration.org/,info@rawinspiration.org,34.049125,-118.260714,,,,,
206,Los Angeles,Los Angeles,Bank of America Plaza Farmers' Market (CFM),,333,S Hope Street,W 3rd St,W 4th St,90071,Year Round,,Friday,,10:00:00,14:00:00,Fernando Oxa & Brett Potter,8185918161,Raw Inspiration,0,0,1,0,http://www.rawinspiration.org/,info@rawinspiration.org,34.053765,-118.253278,,,,,
207,Los Angeles,Downey,Downey CFM,,11039,Downey Ave,,,90241,Year Round,,Saturday,,09:00:00,13:00:00,Jackson Spears,8185918161,Raw Inspiration,0,0,1,0,http://www.downeyca.org/thingstodo/market.asp,info@RAWINSPIRATION.ORG,33.941543,-118.13345,,,,,
208,Los Angeles,Calabasas,Calabasas CFM,,23504,Calabasas Rd,Calabasas Rd,El Canon Ave,91302,Year Round,,Saturday,,08:00:00,13:00:00,Bryn Pritchard/ Shannon Quamme,8185918161,Raw inspiration,0,0,1,0,info@rawinspiration.org,,34.157363,-118.638779,,,,,
209,Los Angeles,La Canada,La Canada/Flintridge CFM,,1346, Foothill Blvd,Lasheart Dr,,91011,Year Round,,Saturday,,09:00:00,13:00:00,Carol De Los Santos,8185918161,Raw Inspiration,0,0,1,0,http://www.lacanadaflintridge.com/events-page/farmers-market.html,info@RAWINSPIRATION.ORG,34.207911,-118.207715,,,,,
210,Los Angeles,Los Angeles,Melrose Place CFM,,8400,Melrose Ave,Melrose Pl,N La Cienega Blvd,90069,Year Round,,Sunday,,10:00:00,14:00:00,Brett Potter,8185918161,Raw Inspiration,0,0,1,0,http://www.ccfm.com/ccfm/melrose-place-farmers-market,info@RAWINSPIRATION.ORG,34.083453,-118.373843,,,,,
211,Los Angeles,Century City,Century City CFM,,1800,Ave of the Stars,Santa Monica Blvd,Constellation Blvd,90067,Year Round,,Thursday,,10:00:00,14:00:00,Linda Gallardo/ Shannon Quamme,8185918161,Raw Inspiration,0,0,1,0,https://www.facebook.com/CenturyCityFM,info@RAWINSPIRATION.ORG,34.061262,-118.417342,,,,,
212,Los Angeles,Pacific Palisades,Pacific Palisades CFM,,1037,Swarthmore Ave,,,90272,Year Round,,Sunday,,08:00:00,13:00:00,Evelyn Lopez,8185918161,Raw Inspiration,0,0,1,0,https://www.facebook.com/PacificPalisadesFM,info@RAWINSPIRATION.ORG,34.0484475,-118.5250541,,,,,
213,Los Angeles,Sherman Oaks,Westfield Sherman Oaks CFM- Tuesday,Parking lot off Woodman Ave,14006,Riverside Dr,Woodman Ave,,91423,Year Round,,Tuesday,,15:00:00,20:00:00,Bryn Prichard,8185918161,Raw Inspiration,0,0,1,0,,info@RAWINSPIRATION.ORG,34.1565082,-118.4367773,,,,,
214,Los Angeles,Los Angeles,Glassell Park Farmers' Market,Goodwill Industries,3150,N San Fernando Rd,Andrita St,,90065,Year Round,,Saturday,,10:00:00,15:00:00,Alejandro Corona,3234633171,SEE-LA,1,0,1,0, www.seela.org,,34.115337,-118.248103,,,,,
215,Los Angeles,Los Angeles,The CFM @ The Shrine,,500,Hoover,Hoover ,Jefferson,90007,January,June,Tuesday,,09:00:00,17:00:00,Helen Lee/Chase Mosley,3232516950,SEE-LA,1,0,0,0,http://www.seela.org/,,34.0236624,-118.2840586,,,,,
216,Los Angeles,Los Angeles,Barnsdall Medical,Barnsdall Art Park Lower Level Parking Lot,4800,Hollywood Blvd,N Berendo St,Lower Rd,90027,January,September,Monday,,12:00:00,18:00:00,Ariell Ilunga/Jared Call,3234633171,SEELA,1,1,1,1,www.seela.org,,34.101768,-118.294366,10,June,September,,1
217,Los Angeles,Los Angeles,Central Ave Farmers' Market CFM,Central Ave Constituent Service Center,4301,Central Ave ,E 43rd Pl,E 43rd St,90011,Year Round,,Thursday,,10:00:00,15:00:00,Lupe Mejia (Interim),3234633171,SEELA,1,1,1,1,www.seela.org,,34.005847,-118.256745,10,Year Round,,,1
218,Los Angeles,Los Angeles,Baldwin Hills Crenshaw Farmers' Market,Baldwin Hills Crenshaw Plaza ,3650,Martin Luther King Jr. Blvd,Crenshaw Blvd,,90008,Year Round,,Saturday,,10:00:00,15:00:00,Marie-Alise de Marco,3234633171,SEELA,1,1,1,1,www.seela.org,,34.010821,-118.336341,10,Year Round,,,1
219,Los Angeles,Los Angeles,Baldwin La Brea Farmers' Market,Parking lot of Baldwin Hills Shopping Mall,3601,S La Brea Ave,Rodeo Rd,S Sycamore Ave,90017,Year Round,,Saturday,,09:00:00,14:00:00,,8186996204,Enriched Farms,0,0,0,0,http://www.enrichedfarms.com/,enrichedfarms@gmail.com,34.020349,-118.356635,,Year Round,,,
220,Los Angeles,Los Angeles,Los Feliz Village CFM,,1825,N Vermont Ave,Russell Ave,Melbourne Ave,90027,Year Round,,Sunday,,09:00:00,14:00:00,Helen Lee,3232729171,SEELA,0,0,0,0,http://www.see-la.org/,,34.104591,-118.292121,,,,,
221,Los Angeles,Los Angeles,Watts Healthy Farmers' Market,Ted Watkins Memorial Park,1335,East 103rd Street,Central Ave,,90002,Year Round,,Saturday,,10:00:00,14:00:00,Javier Arteaga,3234633171,SEELA,1,1,1,1,http://www.see-la.org/,,33.9444278,-118.2513901,10,Year Round,,,1
222,Los Angeles,Los Angeles,Hollywood Farmers' Market (CFM),,1600,Ivar Ave,Selma Ave,Sunset Blvd,90028,Year Round,,Sunday,,08:00:00,13:00:00,Elizabeth Bowman/Alexandra Agajanian,3234633171,SEELA,1,0,1,0,www.seela.org,alexandra@SEE-LA.ORG,34.099836,-118.328181,,,,,
223,Los Angeles,Los Angeles,Atwater Village Farmers' Market,,3250,Glendale Blvd,Larga Ave,Brunswick Ave,90039,Year Round,,Sunday,,10:00:00,14:00:00,Gina Quattrochi,3234633171,SEELA,1,0,1,1,www.seela.org,,34.118387,-118.260219,,,,,
224,Los Angeles,Los Angeles,Echo Park Farmers' Market,Parking lot #663,,Logan St,Sunset Blvd,,90026,Year Round,,Friday,,15:00:00,19:30:00,Javier Arteaga,3234633171,SEELA,1,1,1,1,www.seela.org,,34.075728,-118.259389,10,Year Round,,,1
225,Los Angeles,South Pasadena,South Pasadena Farmers' Market,,913,Meridian Ave,Meridian Ave,El Centro,91030,Year Round,,Thursday,,16:00:00,20:00:00,Carole Gallegos,6264032820,South Pasadena Chamber of Commerce,1,0,1,0,http://southpasadenafarmersmarket.org/,carole@southpasadenafarmersmarket.org,34.1108347,-118.1573678,,,,,
226,Los Angeles,Panorama City,Kaiser Permanente Panorama City CFM,Kaiser Permanente/ North 3 Building,13652,Cantera St,,,91402,Year Round,,Wednesday,,09:00:00,13:00:00,Anne R. Epstein,8187663686,Southland Farmers Market Association,0,0,1,0,,awabbit@pacbell.net,34.218814,-118.430027,,,,,
227,Los Angeles,Woodland Hills,Kaiser Permanante Woodland Hills CFM,Kaiser Permanente- In the plaza between entrances 3 and 4,5601,De Soto Ave,,,91367,Year Round,,Thursday,,09:00:00,14:30:00,Julie Orr / Anne R Epstein,8187663686,Southland Farmers Market Association,1,0,1,0,,awabbit@pacbell.net,34.170993,-118.589741,,,,,
228,Los Angeles,Playa Vista,Playa Vista CFM - Sat,,6400,Seabluff Dr,,Discovery Creek,90094,Year Round,,Saturday,,09:00:00,14:00:00,Mark Anderson,4246457211,Sprouts of Promise Foundation,0,0,1,0,http://www.playavistafm.com/,sproutsofpromise@gmail.com,33.972012,-118.421888,,,,,
229,Los Angeles,Studio City,Studio City Farmers' Market,,12065,Ventura Place,Laurel Canyon Blvd,Radford Ave,91604,Year Round,,Sunday,,08:00:00,14:00:00,Kathy Gold,8186557744,Studio City Farmers Market,1,0,1,0,http://www.studiocityfarmersmarket.com/HOME.html,manager@studiocityfarmersmarket.com,34.1441299,-118.3936911,,,,,
230,Los Angeles,Los Angeles,East Hollywood CFM,,5448,Hollywood Blvd,Western Ave,,90027,Year Round,,Thursday,,15:30:00,19:30:00,Brandie Gordon,3234682555,Thai Community Development Center,1,1,1,0,http://thaicdc.org/proj/east-hollywood-farmers-market/,bo@thaicdc.org,34.101804,-118.308071,10,Year Round,,,1
231,Los Angeles,Claremont,Claremont Farmers' & Artisans' Market,,,,Indian Hill Blvd,2nd St,91711,Year Round,,Sunday,,08:00:00,13:00:00,Oscar De Leon,7143453087,The Claremont Forum,0,0,1,0,http://www.thevillageclaremont.com/market.html,oscarxicara@gmail.COM,34.095881,-117.719293,,,,,
232,Los Angeles,Los Angeles,East Los Angeles Farmers' Market (Saturday),East Los Angeles Civic Center,4801,E 3rd St ,Civic Center Way,,90022,Year Round,,Saturday,,09:00:00,14:00:00,Grace Gonzalez/Lilia Rivas,3232634462,VELA - The Light of the Community,1,1,1,1,http://www.hungeractionla.org/marketmatch/,info@velaela.org; logistic @ velaela.org,34.034038,-118.160586,10,Year Round,,,1
233,Los Angeles,Santa Clarita,Santa Clarita CFM,College of the Canyons Parking Lot #8,26455,Rockwell Canyon Rd,Valencia Blvd,,91355,Year Round,,Sunday,,08:30:00,12:00:00,Karen Wetzel Schott,8055296266,Ventura County CFM,1,0,1,0,http://vccfarmersmarkets.com/santa-clarita/,vccfm@msn.com,34.4043507,-118.5682927,,,,,
234,Los Angeles,Castaic,Senior Produce Markets,,28060,Hasley Canyon Rd #140,The Old Rd,,91384,September,December,Tuesday,,15:00:00,19:00:00,Patrice Powell,8054799699,,0,0,0,0,,,34.456191,-118.616482,,,,,
235,Los Angeles,Hawthorne,Hawthorne/Del Aire Farmers' Market,DaVinci Charter School parking lot,13530,S Aviation Blvd,W 138th St,W 135th St,90250,Janurary,March,Saturday,,09:00:00,13:00:00,Susan Hillyer,3105317111,,0,0,0,0,https://www.facebook.com/pages/Hawthorne-Del-Aire-Certified-Farmers-Market/175229364016,,33.908956,-118.37827,,,,,
236,Los Angeles,La Verne,La Verne Farmers' Market,,,,D St,Bonita Ave,91750,April,August,Thursday,,17:00:00,21:00:00,Jerry Diaz,8664403374,,0,0,0,0,,,34.101558,-117.769795,,,,,
237,Los Angeles,Los Angeles,West LA Certified Farmers' Market,Behind Public Library,1600,Perdue Ave,Santa Monica Blvd,,90025,Year Round,,Sunday,,09:00:00,14:00:00,Steve Whipple,3104302919,,0,0,0,0,http://www.westlafarmersmarket.info/,,34.045815,-118.449976,,,,,
238,Los Angeles,Los Angeles,Westchester Park CFM,"Westchester Park, across from Otis College",7000,W. Manchester Ave,Lincoln Blvd,La Tijera Blvd,90045,Year Round,,Wednesday,,08:30:00,13:30:00,Cynthia Rogers,,,1,0,0,0,http://westchesterfarmersmarket.com/,,33.956833,-118.415823,,,,,
239,Los Angeles,Los Angeles,Silver Lake CFM,,1500,Griffith Park Blvd,Sunset Blvd,Edgecliff Dr,90026,Year Round,,Saturday,,08:00:00,13:30:00,Edwin Gomez,2134844002,,1,0,0,0,,,34.0904111,-118.2779481,,,,,
240,Los Angeles,Los Angeles,Boyle Heights Farmers Market,,100,Bailey,1st St,Boyle Ave,90033,January,December,"Friday, Sunday",,15:00:00,21:00:00,Antonia Juarez,9512244164,,0,0,0,0,https://www.facebook.com/pages/Boyle-Heights-Farmers-Market/308825742488228,,34.047494,-118.219855,,,,,
241,Los Angeles,Malibu,Malibu Farmers' Market,,23525,Civic Center Way,Webb Way,PCH,90265,Year Round,,Sunday,,10:00:00,15:00:00,Debra Bianco,3104284262,,0,0,0,0,,,34.0368387,-118.689072,,,,,
242,Los Angeles,Manhattan Beach,Manhattan Beach CFM,,,13th St,Valley St,Morningside St,90266,Year Round,,Tuesday,,11:00:00,17:00:00,Mark Anderson,3103799901,,0,0,1,0,http://downtownmanhattanbeach.com/manhattan-beach-farmers-market/,,33.8863622,-118.4091968,,,,,
243,Los Angeles,Monrovia,Monrovia Farmers Market - Sunday,,,Lime Ave,Myrtle Ave,,91017,Year Round,,Sunday,,09:00:00,14:00:00,Jerry Diaz,8664403374,,0,0,0,0,,,34.1480711,-118.0009791,,,,,
244,Los Angeles,Pomona,Pomona Thomas Plaza  Downtown Pomona CFM on 2nd Street,Thomas Plaza,209,W 2nd St,Thomas St,,91766,Year Round,,Saturday,,17:00:00,21:00:00,Larry Egan,9094691121,,0,0,0,0,http://www.downtownpomona.org/events-calendar/farmers-market/,,34.0578021,-117.7512424,,,,,
245,Los Angeles,Sierra Madre,Sierra Madre CFM,,222,S Sierra Madre Blvd,,,91814,Year Round,,Wednesday,,15:00:00,20:00:00,Jason Bryant,8185918161,,0,0,1,0,,,34.1619046,-118.0477674,,,,,
246,Los Angeles,W Covina,West Covina Farmers' Market,By the Lakes Entertainment Complex,195,Glendora Ave,Lakes Dr,,91790,Year Round,,Saturday,,08:00:00,13:00:00,Roger Evans,6264880054,,0,0,1,0,http://westcovinafarmersmarket.org/,,34.071304,-117.921604,,,,,
247,Los Angeles,Walnut,The Jack Newe's Farmers' Market,"Mt. San Antonio College Campus, Pkg Lot B",1100,N Grand Ave,,,91789,Year Round,,Saturday,,08:00:00,14:00:00,Rick Palas,9098690701,,0,0,0,0,,,34.048324,-117.842001,,,,,
248,Los Angeles,Los Angeles,Silver Lake CFM - Tuesday,,1500,Griffith Park Blvd,Edgecliff,Sunset Blvd,90026,Year Round,,Tuesday,,14:00:00,19:30:00,Edwin Gomez,2134844002,,1,0,0,0,,,34.0904111,-118.2779481,,,,,
